feature,mean_shap,abs_mean_shap,std_shap,type
mordred_AATSC7Z,0.0008568408,0.011270694,0.019066362,Mordred 2D
rdkit_BCUT2D_LOGPLOW,-0.00014796494,0.011257868,0.016599694,RDKit 2D
mordred_ATSC1d,0.0013435928,0.011215834,0.018024772,Mordred 2D
mordred_GGI3,-0.00053017493,0.011173574,0.015163885,Mordred 2D
mordred_GATS1Z,0.00076795224,0.011165022,0.013925921,Mordred 2D
mordred_AATS3p,-4.426457e-05,0.011158397,0.016305203,Mordred 2D
mordred_MATS8c,0.00063349877,0.011060595,0.015094557,Mordred 2D
mordred_AATS5Z,-0.0022688692,0.011047517,0.014124837,Mordred 2D
mordred_ATSC5p,-0.0007650661,0.011041505,0.014198189,Mordred 2D
mordred_SdssC,0.0014417389,0.0109812645,0.014271922,Mordred 2D
mordred_MATS8p,0.0012586436,0.010961092,0.015902223,Mordred 2D
mordred_ATSC1Z,0.00011028853,0.010901372,0.01347896,Mordred 2D
mordred_AATSC8dv,0.0006266161,0.010878572,0.017965615,Mordred 2D
mordred_C2SP3,0.0016611115,0.010877569,0.01899188,Mordred 2D
mordred_MATS7s,0.002748129,0.010853796,0.015942536,Mordred 2D
mordred_AATS8p,-0.0010666519,0.010829417,0.013812757,Mordred 2D
mordred_AATSC5s,0.0007204562,0.010747214,0.014238779,Mordred 2D
mordred_AATSC2v,0.00072151225,0.010744662,0.014016742,Mordred 2D
mordred_Xc-3dv,-0.0014173124,0.010731417,0.018662471,Mordred 2D
mordred_MATS7Z,0.00063918054,0.010710756,0.015105733,Mordred 2D
mordred_GATS5se,0.0007990203,0.010683658,0.014393118,Mordred 2D
mordred_GATS1i,-0.00031812137,0.010620782,0.0148025425,Mordred 2D
mordred_GATS1s,0.0007145121,0.010584813,0.014701799,Mordred 2D
mordred_GATS8i,0.00030573126,0.010555819,0.014016296,Mordred 2D
mordred_ATSC6i,0.0020146142,0.010547146,0.015265187,Mordred 2D
mordred_AATS3d,0.00053504406,0.01053246,0.014360106,Mordred 2D
mordred_AATSC3s,-0.00027490774,0.010499062,0.014882653,Mordred 2D
mordred_GATS7Z,0.0005111462,0.010481499,0.015250582,Mordred 2D
mordred_AATS4i,0.0011841049,0.010440948,0.014318123,Mordred 2D
mordred_AATS8d,0.0013911362,0.0104113845,0.012913172,Mordred 2D
mordred_ATSC7Z,0.0016744001,0.010409922,0.021487335,Mordred 2D
mordred_AATSC0dv,0.0006576944,0.010403594,0.016652118,Mordred 2D
mordred_MDEC-23,-0.0006363879,0.010389305,0.015570934,Mordred 2D
mordred_AATSC6i,0.00053077587,0.010369004,0.014293389,Mordred 2D
mordred_ATSC7dv,0.0009475253,0.010267466,0.016156804,Mordred 2D
mordred_IC4,0.00020653529,0.010266079,0.013038997,Mordred 2D
mordred_BCUTs-1h,0.0015582868,0.010261386,0.0154834315,Mordred 2D
mordred_ATSC5i,-4.2381813e-05,0.010221065,0.014121878,Mordred 2D
mordred_MATS6c,-0.00041828677,0.0101787085,0.013233565,Mordred 2D
mordred_ATSC3d,0.00044808173,0.010144473,0.018980283,Mordred 2D
mordred_ATSC4d,-0.0001709102,0.010140356,0.019265793,Mordred 2D
mordred_AATS7i,-0.0006273482,0.010138371,0.018499693,Mordred 2D
mordred_VSA_EState5,-0.0008668731,0.010121875,0.01867907,Mordred 2D
mordred_CIC0,8.313113e-05,0.010116643,0.016972745,Mordred 2D
mordred_MATS4Z,0.0015814017,0.010084691,0.01579987,Mordred 2D
mordred_ATSC4s,0.0008369342,0.0100765,0.013851784,Mordred 2D
mordred_ATSC8dv,-0.00017138234,0.010075962,0.016513793,Mordred 2D
ECFP6_1809,0.0002241997,0.010070761,0.028583962,ECFP6 Fingerprint
mordred_GATS2Z,0.0016132462,0.010033466,0.013837112,Mordred 2D
mordred_AATSC4dv,0.00068480725,0.010013558,0.014051579,Mordred 2D
